id,fetchurl,name,importstatus
ddhh_33_caso_proveedor_contaminante,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_33_caso_proveedor_contaminante.png,ddhh_33_caso_proveedor_contaminante.png,needsdownload
ddhh_34_caso_represalia,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_34_caso_represalia.png,ddhh_34_caso_represalia.png,needsdownload
ddhh_35_caso_uso_fuerza,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_35_caso_uso_fuerza.png,ddhh_35_caso_uso_fuerza.png,needsdownload
ddhh_36_caso_comunidad_agua,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_36_caso_comunidad_agua.png,ddhh_36_caso_comunidad_agua.png,needsdownload
ddhh_37_alcance_curso,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_37_alcance_curso.png,ddhh_37_alcance_curso.png,needsdownload
ddhh_38_dignidad,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_38_dignidad.png,ddhh_38_dignidad.png,needsdownload
ddhh_39_interdependencia,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_39_interdependencia.png,ddhh_39_interdependencia.png,needsdownload
ddhh_40_deber_estado,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_40_deber_estado.png,ddhh_40_deber_estado.png,needsdownload
ddhh_41_riesgos_salientes,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_41_riesgos_salientes.png,ddhh_41_riesgos_salientes.png,needsdownload
ddhh_42_trabajo_infantil,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_42_trabajo_infantil.png,ddhh_42_trabajo_infantil.png,needsdownload
ddhh_43_consulta_partes,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_43_consulta_partes.png,ddhh_43_consulta_partes.png,needsdownload
ddhh_44_debido_proceso_senalado,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_44_debido_proceso_senalado.png,ddhh_44_debido_proceso_senalado.png,needsdownload
ddhh_45_caso_remediacion,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_45_caso_remediacion.png,ddhh_45_caso_remediacion.png,needsdownload
ddhh_46_caso_origen,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_46_caso_origen.png,ddhh_46_caso_origen.png,needsdownload
ddhh_47_rendir_cuentas,https://raw.githubusercontent.com/DSANJORGE/minsur-testu-img/main/ddhh/ddhh_47_rendir_cuentas.png,ddhh_47_rendir_cuentas.png,needsdownload
