"id","name","ordering","playbackentitymoduleid","playbackentityid","skills"
1,"1. Fundamentos y conceptos de los Derechos Humanos",1,"entitytutorial","AZ_tFsHKimsE6yOlqXpA",
2,"2. Empresas y Derechos Humanos: marco internacional",2,"entitytutorial","AZ_tFsHKimsE6yOlqXpA",
3,"3. Compromiso y gobernanza de DDHH en Minsur",3,"entitytutorial","AZ_tFsHKimsE6yOlqXpA",
4,"4. Debida diligencia: riesgos e impactos",4,"entitytutorial","AZ_tFsHKimsE6yOlqXpA",
5,"5. Mecanismos de reclamación, denuncias y remediación",5,"entitytutorial","AZ_tFsHKimsE6yOlqXpA",
6,"6. Aplicación práctica: casos y dilemas",6,"entitytutorial","AZ_tFsHKimsE6yOlqXpA",
